A.200053_at,0.294743464
A.200740_s_at,-0.028928912
A.200855_at,0.154184617
A.202011_at,0.072521836
A.202117_at,0.020341927
A.203188_at,0.048784363
A.203287_at,-0.040112615
A.203347_s_at,-0.303348165
A.206197_at,0.045225317
A.208184_s_at,-0.202768718
A.209608_s_at,-0.216899262
A.209625_at,0.006281929
A.210137_s_at,0.255474558
A.211765_x_at,-0.010044644
A.212708_at,0.074588187
A.213285_at,0.024738836
A.218080_x_at,-0.146518965
A.218795_at,0.292116538
A.218877_s_at,-0.167127547
A.219252_s_at,0.467427308
A.219490_s_at,-0.028438095
A.221562_s_at,0.123968087
A.221740_x_at,0.169674277
A.221951_at,0.207367415
B.226831_at,0.208855081
B.227423_at,-0.067334666
B.227762_at,0.00918064
B.228081_at,0.037159622
B.229181_s_at,-0.237396913
B.229342_at,0.022536176
B.232398_at,-0.132246762
B.233413_at,0.235734276
B.235789_at,0.005152571
B.238425_at,-0.350109876
B.242255_at,-0.340824354
