141,35,98,33,110,6,121,0,14
118,36,96,5,74,5,184,0,9
145,16,58,1,61,11,72,1,13
122,12,56,4,37,2,71,1,4
115,33,93,0,54,1,117,0,11
100,5,36,1,53,10,64,13,11
133,31,84,0,39,4,107,0,18
139,43,108,0,59,5,98,0,14
126,29,79,0,88,2,141,0,5
104,0,37,3,34,6,75,10,7
123,15,49,0,32,3,35,0,13
119,6,35,15,26,2,121,3,7
159,9,42,36,31,6,110,14,2
139,14,76,3,39,5,98,1,12
131,2,45,6,60,7,70,11,7
115,9,59,14,34,6,83,16,16
120,5,42,9,52,7,63,0,10
173,40,94,5,77,2,123,3,9
156,27,89,12,86,3,125,0,15
147,31,94,3,62,6,132,2,15
128,13,55,9,45,0,91,3,6
143,13,48,14,41,1,102,28,5
167,28,87,25,103,7,81,0,3
159,16,64,6,32,2,81,11,9
104,12,63,2,58,10,81,3,6
174,3,45,30,50,9,78,3,5
168,18,93,2,41,13,88,0,22
126,3,40,17,37,3,91,24,10
130,7,59,1,31,1,82,3,9
126,7,59,3,32,3,70,5,10
